,author_id,book_id
0,4,"[6507988, 8706, 8709, 372299, 985159, 9813826, 613099, 16094002, 285985, 79259, 10439597, 358, 13484271, 862856, 17057264, 13535914, 22675091, 823528, 17707, 2591661, 286041, 31847104, 161493, 3501, 818472, 3112330, 357, 359, 365, 386162, 241798, 823660, 81644, 12, 16, 6315567, 6315566, 11, 13, 14, 18]"
1,10,"[15216, 14833682]"
2,16,"[1696917, 6254610]"
3,20,[19983]
4,23,"[19911, 19910, 19912, 19914, 19916, 6294228, 313268, 19908, 19909, 615945, 615941, 1708127, 30279, 15808851, 5995419, 8105613, 7044446, 6593385, 19913, 12793221, 96487, 2452326, 519655, 9691496]"
5,24,"[81042, 9727730, 15793149, 249855, 7304345, 11545694, 81039, 13177385, 4738393, 463033, 13262782, 220944, 13414149, 9191899, 28686905, 371638, 20299673, 20002, 10635363, 8428157, 13057774, 58, 92377, 81038]"
6,25,"[81042, 126437, 740038, 7416873, 92762, 92769, 781124, 249855, 92755, 81073, 81070, 81039, 11935, 491075, 2917367, 44328, 463033, 13262782, 81068, 81069, 258313, 220944, 25489443, 7894642, 50739, 19819, 77364, 77362, 9191899, 26196475, 81072, 10877155, 13595388, 7850063, 77353, 77355, 59, 141024, 19821, 19823, 19822, 1448631, 939334, 816991]"
7,26,"[471560, 471562, 410927, 1598837, 6014861, 61974, 398218, 177928, 177927, 61967, 61965, 480569, 7416873, 24866, 24869, 177911, 61922, 61926, 61924, 61928, 96460, 738228, 8138331, 238959, 231012, 61931, 444100, 177938, 664553, 61970, 61975, 61976, 24872, 24870, 24874, 465904, 673252, 127586, 127584, 797088, 61938, 491076, 1996409, 574676, 177001, 614558, 176850, 77563, 238961, 412820, 797077, 797074, 797079, 203288, 127567, 20076, 20074, 20075, 20078, 28543, 28541, 177945, 61963, 61940, 61942, 2266884, 20082, 28547, 96458, 491087, 9518461, 127566, 77232, 32332687, 653711, 412816, 987217, 639095, 7757584, 61958, 61959, 61953, 61950, 61957, 13099180, 6473157, 28553, 2386345, 96463, 127583]"
8,27,"[2504935, 127122, 68765, 81012]"
9,31,"[7959022, 291514, 19852, 19855, 291693]"
10,38,"[18050226, 23156342]"
11,50,"[7242941, 2240429, 9835932]"
12,56,"[17910044, 99218, 20252, 11754793]"
13,58,"[1000049, 1685995, 103, 106, 104, 1022825, 53726, 991909, 53732, 780894, 5022352, 25772375, 17662622, 13249366, 234225, 53747, 1437283, 117902, 11273438, 42432, 117899, 668693]"
14,60,"[31014504, 119]"
15,106,"[317521, 317522, 317523, 11843, 11841, 605562, 1258928, 13415723, 1309367, 865964, 18130, 6405143, 1148896, 2086389, 177358, 839741, 7619, 1068841, 159069, 865963, 452406, 195816, 22878833, 18131, 452409, 151370, 24761, 839776, 177363, 409583, 77275, 77276, 117980, 13057774, 22068123, 895953, 11607104, 11607103]"
16,159,"[6254610, 771204, 847048]"
17,192,[11768308]
18,205,"[16690, 355, 50852, 50856, 3242353, 16688, 16686, 349, 1061925, 1061927, 121586, 120273, 7708731]"
19,209,"[14977, 227570, 55453, 367]"
20,214,"[497118, 16468, 853871, 714603, 10623784, 378]"
21,235,[526652]
22,236,[108039]
23,317,"[5739760, 2871256, 7840832, 10869776, 7455727]"
24,500,"[929587, 16568]"
25,545,"[32075825, 2246092, 12853150]"
26,566,"[4008, 1426, 53806, 9475900, 53812, 70746]"
27,585,"[93282, 4097025]"
28,589,"[13579397, 10264769, 28729, 267768, 92956, 170972, 126437, 7416873, 12040447, 31351, 31352, 31354, 31357, 418273, 1856301, 210482, 11736574, 15793068, 10148930, 17452242, 92923, 24441, 18668428, 10803222, 544482, 92961, 10627280, 120240, 7957, 7956, 77563, 40304, 724283, 8100267, 40271, 95573, 13600356, 92974, 9265891, 40287, 9534, 13167096, 7962, 7964, 7965, 7968, 3264918, 2183571, 76827, 40303, 3030779, 77232, 2316941, 40290, 31361, 60824, 2158376, 7971, 7973, 171125, 1448631, 16108066, 23847922, 761235]"
29,607,[770794]
30,616,[2223324]
31,625,"[26049, 26046, 685379, 16158558, 114149, 24611454, 3094593, 3985660, 34311452, 114190, 31313, 114218, 59822, 59829, 762053, 762011, 30280, 2195309, 17781, 114215, 59833, 59830, 248682, 114122, 682137, 18754961, 114163, 294158, 40491, 27209407, 114206, 8498031, 407234, 18527947, 24035668, 28432251, 23463234, 1541223, 1110282, 9324970, 59819, 575112]"
32,663,[6907879]
33,686,[7123161]
34,771,"[23399228, 17560541, 14759306, 26210, 26212, 3233381, 30254933, 13547802, 15843287, 21399241, 12390039, 5168977, 26892072, 17981403, 29993747, 18527499, 16043628, 20628555, 26892060, 26207]"
35,779,[92377]
36,781,[441732]
37,811,"[1226, 8244021, 6093294, 8530685, 317818, 13356690, 15939146, 170453, 16044296, 1229, 4214, 826373, 7850063, 820599, 680938, 477725, 6375914, 820602]"
38,815,"[17655238, 13623012, 9790778, 9440324, 18773989, 3372431, 13642229, 4513, 13369595, 9837489, 7128341, 21043488, 12291506, 12814595, 6340843, 15725141, 15818410, 12355553]"
