,book_id,author_id
0,1,"[1077326.0, 2927.0]"
1,2,"[1077326.0, 2927.0]"
2,3,"[1077326.0, 2927.0]"
3,4,[1077326.0]
4,6,"[1077326.0, 2927.0]"
5,7,"[1077326.0, 2927.0]"
6,8,"[1077326.0, 2927.0]"
7,10,[1077326.0]
8,11,[4.0]
9,12,[4.0]
10,13,[4.0]
11,14,[4.0]
12,16,"[4.0, 10917.0]"
13,18,[4.0]
14,30,[656983.0]
15,31,[656983.0]
16,32,[656983.0]
17,33,[656983.0]
18,34,[656983.0]
19,35,"[656983.0, 9545.0]"
20,36,"[5448409.0, 5325360.0, 10154.0]"
21,58,[24.0]
22,59,[25.0]
23,103,[58.0]
24,104,[58.0]
25,106,[58.0]
26,119,[60.0]
27,208,[13557729.0]
28,349,[205.0]
29,355,[205.0]
30,357,[4.0]
31,358,[4.0]
32,359,[4.0]
33,365,[4.0]
34,367,[209.0]
35,378,"[214.0, 5116.0]"
36,866,"[4698899.0, 1945379.0]"
37,868,"[4698899.0, 1945379.0]"
38,869,"[4698899.0, 1945379.0]"
39,871,"[4698899.0, 1945379.0]"
40,1226,[811.0]
41,1229,[811.0]
42,1307,"[869.0, 868.0]"
43,1375,"[903.0, 1005.0, 280215.0]"
44,1426,[566.0]
45,1622,"[947.0, 569383.0, 8140.0, 270160.0]"
46,2002,[1077326.0]
47,2005,[1077326.0]
48,2330,"[1583.0, 656983.0]"
49,2333,"[656983.0, 9497.0, 9498.0]"
50,2442,[1654.0]
51,2744,[1221698.0]
52,2880,[1977.0]
53,2881,[1977.0]
54,2882,[1977.0]
55,2883,[1977.0]
56,2910,"[1378543.0, 238653.0, 82937.0, 10210192.0]"
57,3048,"[4699102.0, 656983.0, 9533.0]"
58,3275,[2226.0]
59,3304,"[2238.0, 30209.0]"
60,3479,"[2354.0, 2358.0, 2843445.0, 2356.0, 2355.0, 2357.0, 2353.0]"
61,3501,[4.0]
62,3638,"[2495.0, 47782.0]"
63,3682,[2526.0]
64,3683,"[437669.0, 7577.0]"
65,3852,"[2614.0, 2615.0, 2612.0, 2613.0]"
66,3973,[2687.0]
67,3979,[2687.0]
68,4008,"[566.0, 169609.0, 215818.0]"
69,4117,[2828.0]
70,4214,[811.0]
71,4255,[1077326.0]
72,4407,[1221698.0]
73,4412,"[1221698.0, 19365.0]"
74,4513,[815.0]
75,4835,"[3299.0, 2886033.0]"
76,4978,"[3389.0, 133241.0]"
77,5038,[3441.0]
78,5091,[3389.0]
79,5092,[3389.0]
80,5093,"[3389.0, 2777560.0]"
81,5094,[3389.0]
82,5095,[3389.0]
83,5096,"[3389.0, 10365.0]"
84,5098,[3389.0]
85,5338,"[239579.0, 40641.0]"
86,5367,[3619.0]
87,5372,[869.0]
88,5374,"[4777916.0, 475166.0]"
89,5399,[3389.0]
90,5414,"[3389.0, 45978.0]"
91,5415,[3389.0]
92,5418,[3389.0]
93,5419,[3389.0]
94,5500,"[5835922.0, 4273240.0, 155401.0]"
95,5886,"[4008.0, 369374.0]"
96,5898,[656983.0]
97,5907,[656983.0]
98,5912,[656983.0]
99,5915,[656983.0]
100,6052,[4106.0]
101,6291,[1023510.0]
102,6294,[4260.0]
103,6297,"[4263.0, 8486.0]"
104,6393,"[4333.0, 4335.0]"
105,6394,"[4333.0, 4335.0]"
106,6401,"[4333.0, 4335.0]"
107,6402,[4333.0]
108,6404,[4333.0]
109,6406,[4333.0]
110,6625,"[4430.0, 4429.0, 4428.0]"
111,6628,[4432.0]
112,6970,[4708.0]
113,7009,[947.0]
114,7012,"[947.0, 41570.0, 21187.0]"
115,7021,[4735.0]
116,7022,[4735.0]
117,7023,"[4735.0, 1100211.0]"
118,7024,[4735.0]
119,7026,[4735.0]
120,7027,[4735.0]
121,7028,[4735.0]
122,7029,[4735.0]
123,7082,"[4764.0, 3619.0]"
124,7083,[4764.0]
125,7113,"[4747.0, 571819.0]"
126,7238,"[9355.0, 4845.0]"
127,7263,[4861.0]
128,7329,"[656983.0, 9533.0]"
129,7331,"[656983.0, 3853096.0]"
130,7332,"[656983.0, 9533.0, 4938.0]"
131,7337,"[656983.0, 1067608.0]"
132,7339,[656983.0]
133,7341,[4942.0]
134,7345,"[4945.0, 283833.0]"
135,7346,"[656983.0, 9533.0]"
136,7347,"[656983.0, 9533.0]"
137,7348,[656983.0]
138,7349,[656983.0]
139,7619,"[106.0, 8658.0]"
140,7733,"[1831.0, 320473.0]"
141,7735,"[1831.0, 8171.0, 8475447.0]"
142,7956,[589.0]
143,7957,[589.0]
144,7962,[589.0]
145,7964,[589.0]
146,7965,[589.0]
147,7968,[589.0]
148,7971,[589.0]
149,7973,[589.0]
150,7974,"[5329.0, 4517970.0]"
151,7976,"[5329.0, 158961.0]"
152,7979,[5329.0]
153,7980,[5329.0]
154,7981,"[5329.0, 579130.0]"
155,7983,"[5329.0, 158961.0]"
156,7987,[5329.0]
157,7989,"[5329.0, 163933.0]"
158,7993,"[5329.0, 158961.0]"
159,7994,[5329.0]
160,7996,[5329.0]
161,7997,"[5329.0, 163934.0]"
162,7998,[5329.0]
163,7999,[5329.0]
164,8001,"[5329.0, 579130.0]"
165,8004,"[5329.0, 163933.0]"
166,8084,[5339.0]
167,8085,"[5339.0, 5345.0]"
168,8087,[5339.0]
169,8088,[5339.0]
170,8089,[5339.0]
171,8090,[5339.0]
172,8091,[5339.0]
173,8092,[5339.0]
174,8093,"[5339.0, 275663.0]"
175,8178,[5369.0]
176,8706,[4.0]
177,8709,[4.0]
178,8908,[5791.0]
179,8948,[5816.0]
180,8949,[5816.0]
181,8951,[5816.0]
182,8952,[5816.0]
183,8955,[5816.0]
184,8957,[5816.0]
185,8960,[5816.0]
186,8962,[5816.0]
187,8963,[5816.0]
188,8965,[5816.0]
189,8966,[5816.0]
190,8967,[5816.0]
191,8968,[5816.0]
192,8983,[5833.0]
193,8992,[5816.0]
194,9325,"[4698899.0, 1945379.0]"
195,9326,"[4698899.0, 1945379.0]"
196,9329,[6108.0]
197,9531,"[6245.0, 6244.0, 337207.0]"
198,9534,[589.0]
199,9539,[6252.0]
200,9542,[7031278.0]
201,9553,[6268.0]
202,9594,[2778055.0]
