average_rating,author_id,text_reviews_count,name,ratings_count
3.92,10333,5075,Barbara Hambly,122118
3.68,9212,36262,Jennifer Weiner,888522
4.18,19158,486,Rachel Roberts,13677
3.95,242185,2906,Carolyn Haines,42549
4.01,3389,367487,Stephen King,10666719
4.1,105602,1916,Edward Herrmann,7201
3.89,50873,30755,L.J. Smith,919399
4.1,5360266,6895,Carrie Ann Ryan,62789
4.1,1265,127817,Jane Austen,4693826
4.13,16667,39262,Isaac Asimov,1533093
3.89,44554,9551,Scott Brick,82004
3.97,1004238,2620,Will Patton,9202
3.77,3330668,10129,Jenika Snow,112695
3.87,7314532,10328,Sally Green,57920
4.02,16073,1079,Robert Walser,10359
3.85,7083555,2528,John  Langan,24550
3.88,41194,1251,Judith Tarr,29656
3.68,6462472,384,Amy Raby,3698
4.12,293603,8949,Heather Brewer,127881
3.48,410348,98,Kathleen Bryan,752
3.87,207766,979,Thomas F. Monteleone,14096
3.89,2953781,7637,Andrew  Grey,65157
3.89,4018722,21208,Beth Revis,195664
3.72,1916427,974,Blake Charlton,9427
3.85,13195,2578,Marion Dane Bauer,24137
4.13,370361,64810,Patrick Ness,454626
4.06,8164,24057,Lewis Carroll,1022402
4.04,36346,17170,Jennifer Donnelly,143792
3.9,172490,5213,Jim C. Hines,42461
3.88,12935,1045,Shannon Drake,17573
4.15,3112114,448,Alexey Pehov,11019
3.92,23113,2468,John Brunner,50219
3.68,13730,30300,R.L. Stine,670491
3.84,854076,24362,Robert Louis Stevenson,834908
3.95,3354,114375,Haruki Murakami,1588319
4.25,38569,8638,Andrzej Sapkowski,229661
3.86,18791,4662,Guy de Maupassant,90449
3.82,10885,11255,Edgar Rice Burroughs,220737
4.19,238787,191,Philip Van Doren Stern,1972
4.1,70026,16774,Scott Snyder,249636
4.21,669810,39561,Jeaniene Frost,737170
3.72,214232,1566,David Anthony Durham,19736
3.76,612167,819,Sarah Kuhn,3263
4.01,17597,16298,Lori Foster,282599
4.09,10366,15933,Clive Barker,437966
4.04,10657,11723,Enid Blyton,527063
4.11,2614,20252,Lora Leigh,519377
3.95,20560,3126,Sheri S. Tepper,56437
3.85,5227552,1097,Elle Strauss,9143
3.82,2905297,43579,Lauren Kate,907978
3.73,1144378,1870,Justine Eyre,7549
3.96,3112090,1102,Lydia Dare,13767
3.99,11912,5176,Jude Watson,192378
3.78,4864634,5682,C.J. Redwine,47373
3.83,21911,27662,Melissa de la Cruz,558518
3.82,17740,717,Ben Counter,16978
4.09,7581,54355,Kelley Armstrong,1056467
4.03,10991,5326,Stanislaw Lem,106639
3.57,4302324,416,Alessandro Juliani,2598
3.99,2383,190099,Gillian Flynn,2510390
3.88,8794,12261,Charles Stross,184596
3.97,6572837,2646,Rachel Bach,21565
4.28,21748,52034,Ilona Andrews,790575
4.22,26897,18763,Anne Bishop,294482
3.95,5806077,1332,Laura Lam,5503
4.19,7246093,5989,Nashoda Rose,58295
4.04,35007,718,William Horwood,11300
4.02,257093,1594,Antonia Michaelis,8723
4.07,4722094,3211,Jonathan Auxier,18645
3.79,14004,2296,William Sleator,23556
4.14,1023510,12956,R.A. Salvatore,677940
3.98,3843,4846,Kenneth Grahame,151009
4.36,311098,1116,Katsura Hoshino,79168
4.37,6474348,31899,Pierce Brown,290915
4.08,4132657,1453,Tim Gerard Reynolds,7796
3.91,3251728,4911,Victoria Scott,25730
4.15,5158478,55952,Anonymous,1070234
3.86,130617,256,Usamaru Furuya,2951
3.87,4798562,6767,Caitlin R. Kiernan,72120
4.12,2767108,103,Richard A. Kirk,938
3.96,16839,3544,James Thurber,34511
3.63,15661,252,Minister Faust,1580
4.18,4951964,8895,Shelly Crane,155764
4.01,20575,2677,Daniel Pinkwater,19041
3.86,38631,1493,Gordon R. Dickson,45174
3.66,20010,132,Andy Collins,5384
3.89,16207,196,Skip Williams,17297
3.91,50802,489,James Wyatt,13676
4.02,34765,3176,Mark Frost,30381
3.94,17015,54650,P.C. Cast,1859975
3.93,17010,49768,Kristin Cast,1765605
4.13,6378,7478,Hans Christian Andersen,258513
3.66,8715,1978,Maureen Child,26412
3.75,22475,488,John McNally,2583
4.46,7340907,3687,Sui Ishida,120315
3.95,330649,608,Dean Lorey,7421
3.95,3486415,27640,Amanda Hocking,388249
3.6,2654606,4087,Kitty Thomas,37728
3.73,2918731,3129,Aliette de Bodard,15983
3.74,6547911,2546,Yangsze Choo,14336
4.26,4134859,6315,Jessica Shirvington,69650
3.49,25205,1473,Gordon Dahlquist,10439
3.84,1428675,5262,Beth Fantaskey,59233
3.79,99117,5525,Sarah Beth Durst,36598
4.13,14865445,367,Emily Bain Murphy,1246
4.34,15207082,167,Claire Luana,378
3.87,14166772,2178,May Sage,16069
4.37,38550,135990,Brandon Sanderson,2062308
3.69,33919,18293,Jeff VanderMeer,147402
4.0,8685,22944,Mercedes Lackey,810564
3.75,40983,3955,Elizabeth Hand,30458
3.79,285217,5873,Johann Wolfgang von Goethe,157535
3.91,5352392,470,Lisa Blackwood,3945
4.12,4562483,15403,Sylvain Reynard,272804
4.13,3116117,268,Elizabeth Loraine,2262
3.91,12695,6551,Christina Dodd,126354
4.05,1244,73268,Mark Twain,4087862
3.84,6579126,1687,Pip Ballantine,13865
3.87,460870,1817,Tee Morris,15859
3.78,137386,3464,Vicki Pettersson,52887
3.65,58013,1023,Johanna Sinisalo,8289
3.55,623602,378,Herbert Lomas,2501
3.74,1880316,567,Sharon Ashwood,5646
3.85,44540,1578,Jan Burke,19492
3.91,721481,821,Elisabeth Waters,30534
3.9,6206,5202,Jenny Nimmo,165124
4.06,7195,28600,John Boyne,437743
4.04,6259,6083,Kay Hooper,155831
3.8,5194,45701,Michael Crichton,1999836
3.97,40573,1204,Frank  Muller,9000
4.24,8106692,311,Adam Dreece,624
4.12,4882127,27757,Rachel Van Dyken,269026
4.03,1441,21402,Ted Dekker,360209
4.0,22543,1276,Meredith Ann Pierce,25210
3.8,870,1304,Holly Lisle,22830
3.94,344352,627,Kim Wilkins,5602
4.14,1654,106290,Terry Pratchett,3267646
4.05,15058478,135,Jacque Stevens,180
4.27,738091,1380,P.J. Lynch,19776
4.13,13557729,9238,Daniel Abraham,167102
4.37,346732,164622,George R.R. Martin,4277240
4.21,2448,43173,Arthur Conan Doyle,1424024
3.63,159,15654,Henry James,273349
3.96,7128,176259,Jodi Picoult,2963318
3.81,880695,24695,H.G. Wells,787462
4.31,656983,96666,J.R.R. Tolkien,6424927
