book_id,title,num_pages,publication_year,average_rating,text_reviews_count,ratings_count,title_without_series,similar_books
780917,"The Serpent and the Rose (War of the Rose, #1)",320.0,2007.0,3.49,54,372,"The Serpent and the Rose (War of the Rose, #1)","['1616595', '2356304', '5432871', '9766146', '6058757', '357264', '428798', '1306752', '1492132', '9069880', '7564251', '450449', '2262259', '6314293', '1753606', '1896805', '1553844', '7143298']"
1488663,The Greatest Gift: The Original Story That Inspired the Christmas Classic It's a Wonderful Life,80.0,1996.0,4.05,74,226,The Greatest Gift: The Original Story That Inspired the Christmas Classic It's a Wonderful Life,"['17544', '9442983', '13586799', '1755629', '679499', '15802651', '329873', '227241', '1354077', '1132614', '875078', '375108', '237347', '7165537', '1554931', '900274', '754690']"
89588,The Visitor,512.0,2003.0,3.81,61,1480,The Visitor,"['114555', '219231', '455901', '102888', '6421529', '121607', '135289', '57070', '1419203', '127263', '378366', '1659076', '670372', '139994', '753136', '349734', '215647', '622100']"
89583,Six Moon Dance,544.0,1999.0,3.75,58,1321,Six Moon Dance,"['673024', '6747831', '6056679', '121611', '651807', '869239', '1369365', '116568', '270492', '426207', '68339']"
2741850,Personal Demon (Women of the Otherworld #8),523.0,2008.0,4.07,39,385,Personal Demon (Women of the Otherworld #8),"['6547188', '4894646', '1704159', '28650', '6650737', '5393637', '5473470', '7840832', '10676816', '2314315']"
10806008,"Peter Nimble and His Fantastic Eyes (Peter Nimble, #1)",400.0,2011.0,4.04,890,6049,"Peter Nimble and His Fantastic Eyes (Peter Nimble, #1)","['9464855', '9869553', '12849210', '10178007', '12711152', '14289259', '13623846', '9470915', '7843500', '6609744', '8927997', '11042036', '8538112', '9732272', '8887365', '10545071', '11671686', '9602030']"
12458829,"Switched (Trylle, #1)",333.0,,3.89,71,428,"Switched (Trylle, #1)","['8768472', '9481431', '9680403', '9267490', '10924631', '10001576', '10657638', '11833295', '10308452', '10421530', '8585694', '9369687', '12829446', '11164626', '10533095', '11913075', '8662410', '8109130']"
27693272,"The House of Binding Thorns (Dominion of the Fallen, #2)",320.0,2017.0,3.99,49,186,"The House of Binding Thorns (Dominion of the Fallen, #2)",[]
30971685,The Disappearances,388.0,2017.0,4.13,325,1092,The Disappearances,[]
30010194,Moonburner (Moonburner Cycle #1),302.0,2016.0,4.34,56,70,Moonburner (Moonburner Cycle #1),[]
4507203,"Ravenous (The Dark Forgotten, #1)",344.0,2009.0,3.6,167,2089,"Ravenous (The Dark Forgotten, #1)","['6283478', '6329335', '9490468', '6591459', '436629', '621490', '2980439', '6236221', '7618386', '6568819', '6348338', '5989616', '3400577', '5820190', '89018', '2081569', '7094592', '2669405']"
22889758,"A Game of Thrones: The Graphic Novel, Vol. 4",208.0,2015.0,4.09,71,637,"A Game of Thrones: The Graphic Novel, Vol. 4","['16098764', '12958913', '591116', '26071563', '16231091', '10227457', '17137630', '2029361', '5942920', '95400', '25945284', '20176447']"
38568,A Quick Bite (Argeneau #1),360.0,2005.0,3.91,1223,32140,A Quick Bite (Argeneau #1),"['225669', '50789', '383143', '293616', '759600', '263178', '46481', '780878']"
38562,A Bite to Remember (Argeneau #5),362.0,2006.0,4.23,362,16665,A Bite to Remember (Argeneau #5),"['1293450', '293616', '50756', '759600', '12500', '332420', '1346584']"
38564,"Boys that Bite (Blood Coven Vampire, #1)",272.0,2006.0,3.69,475,10054,"Boys that Bite (Blood Coven Vampire, #1)","['18194523', '7095692', '6051589', '7242757', '2406857', '7091747', '7744064', '6707693', '23242', '7804173', '797151', '9541850', '2506250', '553250', '7629756', '6611024']"
175248,Nocturnes,,,3.88,261,3396,Nocturnes,"['275470', '420307', '8038401', '9367664', '17286698', '3264608', '967423', '11206174', '23792', '2255345', '10575798', '499214', '911954', '463776', '32462', '352000', '13064259', '21950347']"
13579397,Other Worlds Than These,564.0,2012.0,3.77,45,337,Other Worlds Than These,"['7455727', '7352447', '12377549', '2412563', '11570454', '597659', '13127347', '2865290', '3369511', '6034660', '6987625', '17734542', '7015378']"
16132671,The Complete Charlie Bone Series,3520.0,,4.4,43,855,The Complete Charlie Bone Series,"['17675258', '17465834', '8533276', '893290', '27206454', '460019', '13071705', '204851', '1249549', '6631711', '26074148', '8093859', '621963', '12426698', '1336826', '18599689', '16678349', '17842983']"
39307,"The Forbidden (Vampire Huntress, #5)",490.0,2006.0,4.27,38,2040,"The Forbidden (Vampire Huntress, #5)","['128496', '41538', '2340561', '156298', '2334410', '544385', '1007001', '13330100', '7095798', '170218', '504699', '674687']"
16107050,Tied (Fire Born #1),277.0,2013.0,3.45,49,79,Tied (Fire Born #1),"['18074687', '18692520', '25679123', '25744874', '18631167', '19140497', '17257322', '18491811', '18714987', '25609111', '18478892', '15789207', '18684843', '18338591']"
12814582,Ghost Knight,352.0,2012.0,3.72,306,1921,Ghost Knight,"['13513350', '11464996', '8739826', '13364211', '13429616', '9391978', '11397479', '15798661', '12814612', '12476366', '11042036', '7967563', '679465', '11593977', '12711152', '13260423', '11697763', '13061475']"
3475268,"White Witch, Black Curse (The Hollows, #7)",504.0,2009.0,4.35,958,38736,"White Witch, Black Curse (The Hollows, #7)","['6289935', '6782468', '3128411', '3556419', '2220889', '4453371', '12305703', '8559047', '7352840', '6329337', '2295830', '2398197', '224220']"
16217442,"The Morning Star (Katerina, #3)",288.0,2013.0,3.6,86,713,"The Morning Star (Katerina, #3)","['13624584', '16650652', '16054807', '7135014', '17573643', '12231929', '10799644', '16217444', '9860899', '15822336', '17704852', '18466571', '27230933', '13355017', '1505932', '13367319', '17162377', '12987423']"
29093476,The Apprentice Witch,352.0,2016.0,3.94,32,107,The Apprentice Witch,[]
17322045,"Hive (Species Intervention #6609, #4)",184.0,2012.0,4.42,73,224,"Hive (Species Intervention #6609, #4)","['17244660', '18686404', '15990704', '18719485', '14423057', '25634449', '24803668', '12356958', '23505860', '18298438', '17836237', '18285846', '29079075', '18660041', '13609665', '29086638', '2260455']"
6620466,"Wish (Wish, #1)",336.0,2010.0,3.45,340,2722,"Wish (Wish, #1)","['9658312', '7303510', '9188333', '9762014', '6480142', '452141', '9873443', '8409245', '6447905', '1434956', '8363695', '9698287', '1639713', '9873445', '2546655', '7859492', '6944172', '6908789']"
1113545,"The Candy Shop War (The Candy Shop War, #1)",404.0,2007.0,4.04,2035,20158,"The Candy Shop War (The Candy Shop War, #1)","['14501560', '6553209', '2775759', '121813', '1240035', '5557651', '1726737']"
25135715,"Enslaved (The Life of Anna, #1)",186.0,2015.0,4.05,185,1698,"Enslaved (The Life of Anna, #1)","['27831851', '18959979', '18000594', '22667105', '13162992', '18215609', '15986924', '15779941', '18518542', '22038911', '18858769', '23356302', '20628154', '22103864', '20930162', '18070309', '23306129', '20869836']"
941226,Jirel of Joiry,212.0,1982.0,3.79,41,721,Jirel of Joiry,"['809796', '186182', '1535273', '715273', '952357', '3009100', '1300338', '84187', '338329']"
873920,Nights at the Circus,350.0,1994.0,3.93,75,607,Nights at the Circus,"['1412860', '285810', '937105', '50535', '687352', '67729', '60160', '50386', '18589836', '235785', '382468', '652609', '218633', '153479']"
33024398,Lost Souls,192.0,2017.0,4.15,83,428,Lost Souls,[]
2439888,"The Riven Kingdom (Godspeaker Trilogy, #2)",581.0,2007.0,3.8,73,2130,"The Riven Kingdom (Godspeaker Trilogy, #2)","['6287972', '7812372', '3840040', '282948', '7636552', '4039512', '7958364', '437787', '3577266', '264067']"
738754,"A Living Nightmare (Cirque Du Freak, #1)",266.0,2008.0,4.07,54,319,"A Living Nightmare (Cirque Du Freak, #1)","['7818881', '176556', '469491', '624716', '475444', '107669', '3174495', '6412843', '1840934', '345966', '848290', '30337', '222387']"
1390326,"Dragonmaster (DragonMaster, #1)",416.0,2005.0,3.65,38,664,"Dragonmaster (DragonMaster, #1)","['6578970', '1037550', '6461886', '1261059', '49386', '838855', '72025', '401434', '260224', '338113', '1261176', '1129519', '165654', '789185', '939395', '939992', '106319']"
15670,On Stranger Tides,370.0,,3.86,441,4715,On Stranger Tides,"['430871', '322067', '3369511', '1213337', '4558004', '142470', '2381089', '70581', '7042374', '8488164', '124115', '90622', '102084']"
11309018,"The Lost Stories (Ranger's Apprentice, #11)",422.0,2011.0,4.27,738,16379,"The Lost Stories (Ranger's Apprentice, #11)","['6980720', '3615152', '5155532', '6377397', '6889348', '7039742', '12184913', '7106064', '10114276', '3937718', '616694', '11254850', '82765', '3066582', '16100980', '8678078', '17572806', '7882217']"
4241738,Scaredy Kat (Suddenly Supernatural #2),256.0,2009.0,3.98,55,716,Scaredy Kat (Suddenly Supernatural #2),"['6261064', '3587999', '5136179', '6939876', '12768', '6261395', '966973', '2151311', '8012287', '12931282', '6556422', '552490', '6040421', '6397097', '9572054', '818016', '4906773', '2346670']"
