,book_id,genres
0,1,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime', 'romance']"
1,2,"['fantasy', 'paranormal', 'children', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime', 'romance']"
2,3,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
3,4,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
4,6,"['fantasy', 'paranormal', 'children', 'young-adult', 'fiction', 'romance']"
5,7,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children', 'mystery', 'thriller', 'crime']"
6,8,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
7,10,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children', 'mystery', 'thriller', 'crime']"
8,11,"['fiction', 'fantasy', 'paranormal', 'young-adult']"
9,12,"['fiction', 'fantasy', 'paranormal', 'young-adult']"
10,13,"['fiction', 'fantasy', 'paranormal', 'young-adult']"
11,14,"['fiction', 'fantasy', 'paranormal', 'young-adult']"
12,16,"['fiction', 'fantasy', 'paranormal', 'young-adult']"
13,18,"['fiction', 'fantasy', 'paranormal', 'young-adult']"
14,30,"['fiction', 'fantasy', 'paranormal', 'young-adult', 'children']"
15,31,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
16,32,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
17,33,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
18,34,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
19,35,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
20,36,"['fantasy', 'paranormal', 'non-fiction', 'fiction']"
21,58,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children']"
22,59,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'romance', 'children', 'history', 'historical fiction', 'biography']"
23,103,"['fiction', 'fantasy', 'paranormal']"
24,104,"['fiction', 'fantasy', 'paranormal']"
25,106,"['fiction', 'fantasy', 'paranormal']"
26,119,"['fantasy', 'paranormal', 'non-fiction', 'fiction']"
27,208,"['fantasy', 'paranormal', 'fiction']"
28,349,"['fiction', 'fantasy', 'paranormal']"
29,355,"['fiction', 'fantasy', 'paranormal', 'romance']"
30,357,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime']"
31,358,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime']"
32,359,"['fiction', 'fantasy', 'paranormal', 'non-fiction', 'mystery', 'thriller', 'crime', 'history', 'historical fiction', 'biography']"
33,365,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime']"
34,367,"['fiction', 'fantasy', 'paranormal']"
35,378,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult']"
36,866,"['fantasy', 'paranormal', 'comics', 'graphic', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
37,868,"['fantasy', 'paranormal', 'comics', 'graphic', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
38,869,"['fantasy', 'paranormal', 'comics', 'graphic', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
39,871,"['fantasy', 'paranormal', 'comics', 'graphic', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
40,1226,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
41,1229,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
42,1307,"['fantasy', 'paranormal', 'fiction']"
43,1375,"['fantasy', 'paranormal', 'history', 'historical fiction', 'biography', 'non-fiction', 'fiction', 'poetry', 'romance']"
44,1426,"['fantasy', 'paranormal', 'non-fiction', 'fiction', 'poetry']"
45,1622,"['fiction', 'fantasy', 'paranormal', 'romance', 'poetry', 'history', 'historical fiction', 'biography']"
46,2002,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
47,2005,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime', 'romance']"
48,2330,"['fantasy', 'paranormal', 'non-fiction', 'fiction']"
49,2333,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult', 'history', 'historical fiction', 'biography']"
50,2442,"['fantasy', 'paranormal', 'fiction', 'comics', 'graphic', 'young-adult']"
51,2744,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
52,2880,"['fantasy', 'paranormal', 'comics', 'graphic', 'fiction', 'young-adult', 'romance']"
53,2881,"['fantasy', 'paranormal', 'comics', 'graphic', 'fiction', 'young-adult']"
54,2882,"['fantasy', 'paranormal', 'comics', 'graphic', 'fiction', 'young-adult']"
55,2883,"['fantasy', 'paranormal', 'comics', 'graphic', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
56,2910,"['fantasy', 'paranormal', 'fiction', 'poetry']"
57,3048,"['fantasy', 'paranormal', 'poetry', 'fiction', 'history', 'historical fiction', 'biography', 'romance']"
58,3275,"['fiction', 'fantasy', 'paranormal', 'history', 'historical fiction', 'biography', 'mystery', 'thriller', 'crime']"
59,3304,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime', 'romance']"
60,3479,"['romance', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'fiction', 'history', 'historical fiction', 'biography']"
61,3501,"['fiction', 'fantasy', 'paranormal', 'young-adult']"
62,3638,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult', 'mystery', 'thriller', 'crime']"
63,3682,"['fantasy', 'paranormal', 'young-adult', 'history', 'historical fiction', 'biography', 'fiction', 'romance', 'mystery', 'thriller', 'crime']"
64,3683,"['fiction', 'fantasy', 'paranormal', 'romance', 'history', 'historical fiction', 'biography']"
65,3852,"['fantasy', 'paranormal', 'romance', 'fiction']"
66,3973,"['fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'mystery', 'thriller', 'crime']"
67,3979,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
68,4008,"['fantasy', 'paranormal', 'fiction', 'romance', 'mystery', 'thriller', 'crime']"
69,4117,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
70,4214,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
71,4255,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
72,4407,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
73,4412,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
74,4513,"['fantasy', 'paranormal', 'young-adult', 'mystery', 'thriller', 'crime', 'fiction', 'history', 'historical fiction', 'biography', 'romance', 'children']"
75,4835,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
