,book_id,recommendation_score,num_pages,publication_year,similar_books
0,780917,0.4091427068034508,320.0,2007.0,"['1616595', '2356304', '5432871', '9766146', '6058757', '357264', '428798', '1306752', '1492132', '9069880', '7564251', '450449', '2262259', '6314293', '1753606', '1896805', '1553844', '7143298']"
1,1488663,0.4640291137101561,80.0,1996.0,"['17544', '9442983', '13586799', '1755629', '679499', '15802651', '329873', '227241', '1354077', '1132614', '875078', '375108', '237347', '7165537', '1554931', '900274', '754690']"
2,89588,0.4750808682773736,512.0,2003.0,"['114555', '219231', '455901', '102888', '6421529', '121607', '135289', '57070', '1419203', '127263', '378366', '1659076', '670372', '139994', '753136', '349734', '215647', '622100']"
3,89583,0.4650362637502683,544.0,1999.0,"['673024', '6747831', '6056679', '121611', '651807', '869239', '1369365', '116568', '270492', '426207', '68339']"
4,2741850,0.45787844041289666,523.0,2008.0,"['6547188', '4894646', '1704159', '28650', '6650737', '5393637', '5473470', '7840832', '10676816', '2314315']"
5,10806008,0.6126825817425066,400.0,2011.0,"['9464855', '9869553', '12849210', '10178007', '12711152', '14289259', '13623846', '9470915', '7843500', '6609744', '8927997', '11042036', '8538112', '9732272', '8887365', '10545071', '11671686', '9602030']"
6,12458829,0.4606725796576455,333.0,,"['8768472', '9481431', '9680403', '9267490', '10924631', '10001576', '10657638', '11833295', '10308452', '10421530', '8585694', '9369687', '12829446', '11164626', '10533095', '11913075', '8662410', '8109130']"
7,27693272,0.44103778622793094,320.0,2017.0,[]
8,30971685,0.5526254807245552,388.0,2017.0,[]
9,30010194,0.4589682481967155,302.0,2016.0,[]
10,4507203,0.4929631502130317,344.0,2009.0,"['6283478', '6329335', '9490468', '6591459', '436629', '621490', '2980439', '6236221', '7618386', '6568819', '6348338', '5989616', '3400577', '5820190', '89018', '2081569', '7094592', '2669405']"
11,22889758,0.4893565649997198,208.0,2015.0,"['16098764', '12958913', '591116', '26071563', '16231091', '10227457', '17137630', '2029361', '5942920', '95400', '25945284', '20176447']"
12,38568,0.6462097182605371,360.0,2005.0,"['225669', '50789', '383143', '293616', '759600', '263178', '46481', '780878']"
13,38562,0.6256183848303245,362.0,2006.0,"['1293450', '293616', '50756', '759600', '12500', '332420', '1346584']"
14,38564,0.5690842712515849,272.0,2006.0,"['18194523', '7095692', '6051589', '7242757', '2406857', '7091747', '7744064', '6707693', '23242', '7804173', '797151', '9541850', '2506250', '553250', '7629756', '6611024']"
